DateTime,Air temperature | (°C),Pressure | (atm),Wind speed | (m/s),Power generated by system | (MW),Predicted Power Generation | (MW)
2024-01-03 11:00:00,-5.275,0.991527,7.101,17.2156,17.318010000000005
2024-01-03 12:00:00,-5.328,0.991328,7.647,22.1309,22.21180400000004
2024-01-03 13:00:00,-5.388,0.991276,8.07,25.707099999999997,25.803490000000032
2024-01-03 14:00:00,-4.076,0.991051,8.233,27.7486,27.50935699999996
2024-01-03 15:00:00,-1.465,0.990737,5.965,9.35885,9.381620199999988
2024-01-03 16:00:00,1.099,0.990237,4.26,2.02292,2.0333442000000006
2024-01-03 17:00:00,3.351,0.989261,4.933,3.99577,4.1647910999999995
2024-01-03 18:00:00,5.101,0.988521,5.321,5.5306999999999995,5.563415100000009
2024-01-03 19:00:00,6.463,0.987845,6.109,9.88076,9.907620200000007
2024-01-03 20:00:00,7.372,0.987133,6.485,11.9423,11.967302000000007
2024-01-03 21:00:00,7.613,0.986659,6.853,14.5769,14.568281000000008
2024-01-03 22:00:00,5.886,0.986428,7.529,20.3075,20.25211699999996
2024-01-03 23:00:00,1.555,0.986508,8.864,33.4721,33.43518599999998
2024-01-04 00:00:00,1.758,0.986657,10.241,47.860699999999994,47.75747200000003
2024-01-04 01:00:00,0.662,0.986875,9.838,43.318,43.258486000000055
2024-01-04 02:00:00,-1.326,0.987043,9.769,42.8181,42.638115
2024-01-04 03:00:00,-1.802,0.987198,9.222,37.3801,37.24946299999996
2024-01-04 04:00:00,-2.189,0.986975,8.581,29.672900000000002,29.948859000000017
2024-01-04 05:00:00,-2.64,0.986504,8.229,25.9808,26.31354499999998
2024-01-04 06:00:00,-2.62,0.986386,7.343,18.555,18.76722600000002
2024-01-04 07:00:00,-2.493,0.986338,6.231,11.118799999999998,11.196845999999995
2024-01-04 08:00:00,-2.53,0.98629,5.274,5.68673,5.683920200000005
2024-01-04 09:00:00,-2.576,0.986212,4.667,3.28575,3.267925200000003
2024-01-04 10:00:00,-2.907,0.986184,3.429,0.0,0.0
2024-01-04 11:00:00,-3.186,0.986485,2.514,0.0,0.0
2024-01-04 12:00:00,-3.338,0.98663,2.507,0.0,0.0
2024-01-04 13:00:00,-3.498,0.986825,1.664,0.0,0.0
2024-01-04 14:00:00,-2.558,0.986991,1.328,0.0,0.0
2024-01-04 15:00:00,0.018,0.987125,0.795,0.0,0.0
2024-01-04 16:00:00,2.479,0.987107,0.542,0.0,0.0
2024-01-04 17:00:00,5.138,0.986767,1.247,0.0,0.0
2024-01-04 18:00:00,7.616,0.986302,1.386,0.0,0.0
2024-01-04 19:00:00,9.395,0.985789,1.501,0.0,0.0
2024-01-04 20:00:00,10.309,0.985305,1.474,0.0,0.0
2024-01-04 21:00:00,10.746,0.984956,2.307,0.0,0.0
2024-01-04 22:00:00,9.284,0.984589,2.519,0.0,0.0
2024-01-04 23:00:00,5.602,0.984677,2.929,0.0,0.0
2024-01-05 00:00:00,4.147,0.984586,3.687,0.735657,0.7371862400000009
2024-01-05 01:00:00,3.241,0.984472,4.245,2.02031,2.012238699999997
2024-01-05 02:00:00,2.603,0.984448,5.345,5.87833,5.833712900000005
2024-01-05 03:00:00,1.664,0.984403,5.582,7.20813,7.188959799999993
2024-01-05 04:00:00,1.164,0.984125,5.311,5.77609,5.7589264999999985
2024-01-05 05:00:00,0.681,0.983735,4.693,3.30814,3.3091166999999975
2024-01-05 06:00:00,0.444,0.983556,4.596,3.0268200000000003,2.9210430000000014
2024-01-05 07:00:00,0.326,0.983439,4.445,2.61054,2.596615299999995
2024-01-05 08:00:00,0.169,0.983345,4.409,2.51125,2.5015255999999964
2024-01-05 09:00:00,0.11,0.983244,4.557,2.93494,2.8919346000000017
2024-01-05 10:00:00,0.133,0.983166,4.408,2.5098200000000004,2.495194399999997
2024-01-05 11:00:00,-0.019,0.9833,4.21,1.94242,1.9278601999999996
2024-01-05 12:00:00,-0.221,0.983432,4.209,1.88731,1.8875277000000026
2024-01-05 13:00:00,-0.357,0.983564,4.31,2.12871,2.1671302000000017
2024-01-05 14:00:00,0.695,0.983649,4.529,2.7470100000000004,2.7448273999999975
2024-01-05 15:00:00,3.906,0.983608,4.461,2.55816,2.571659999999996
2024-01-05 16:00:00,6.879,0.9834,2.829,0.0,0.0
2024-01-05 17:00:00,9.512,0.982808,2.711,0.0,0.0
2024-01-05 18:00:00,11.976,0.982284,3.137,0.0,0.0
2024-01-05 19:00:00,13.807,0.981802,3.642,0.321122,0.41358143000000025
2024-01-05 20:00:00,15.335,0.981353,4.269,1.8795,1.9158243000000008
2024-01-05 21:00:00,15.832,0.980886,4.578,2.67962,2.826697300000002
2024-01-05 22:00:00,14.54,0.980489,5.711,7.56168,7.541786500000011
2024-01-05 23:00:00,10.943,0.98041,7.221,17.456400000000002,17.417112000000014
2024-01-06 00:00:00,9.207,0.980433,8.825,31.9915,31.683087000000043
2024-01-06 01:00:00,8.108,0.980394,9.793,41.4656,41.45966699999999
2024-01-06 02:00:00,7.817,0.980344,10.784,50.577,50.90393300000005
2024-01-06 03:00:00,7.865,0.980223,10.067,43.4257,43.69944499999995
2024-01-06 04:00:00,9.235,0.980009,10.323,45.8074,46.08151999999998
2024-01-06 05:00:00,8.817,0.979836,8.562,28.8565,28.944791999999985
2024-01-06 06:00:00,9.532,0.979787,9.556,38.6951,38.70092999999996
2024-01-06 07:00:00,10.363,0.97983,9.412,36.7746,37.07411100000001
